course_id,course_name_en,course_name_th,course_abbrev,credit
0123101,PARAGRAPH WRITING,การเขียนย่อหน้า,PARAGRAP WRITING,3
0123104,UNIVERSITY LEVEL OF THAI READING,การอ่านภาษาไทยระดับอุดมศึกษา,UNIV THAI READING,3
0123105,THAI WRITING IN WORKPLACE,การเขียนภาษาไทยในที่ทำงาน,THAI WRIT WORK,3
0123105,THAI WRITING IN WORKPLACE,การเขียนภาษาไทยในที่ทำงาน,THAI WRIT WORK,3
0201102,THAI WISDOM,ภูมิปัญญาไทย,THAI WISDOM,3
0201103,OUR CHULALONGKORN UNIVERSITY,จุฬาฯ ของเรา,OUR CU,3
0201105,CU SMART BUDDHIST GRADUATES,พุทธบัณฑิตจุฬาฯ สง่างาม,CU SMART BUD GRAD,3
0201107,LEARNING THROUGH STUDENT ACTIVITIES,การเรียนรู้ผ่านกิจกรรมนิสิต,LRN STUD ACT,3
0201107,LEARNING THROUGH STUDENT ACTIVITIES,การเรียนรู้ผ่านกิจกรรมนิสิต,LRN STUD ACT,3
0201108,FAMILY RELATIONS,ครอบครัวสัมพันธ์,FAMILY RELATIONS,3
0201109,INTRODUCTION TO EU INTEGRATION,บูรณาการสหภาพยุโรปเบี้องต้น,INTRO EU INTEGRAT,3
0201110,SICHANG STUDY,สีชังศึกษา,SICHANG STUDY,3
0201110,SICHANG STUDY,สีชังศึกษา,SICHANG STUDY,3
0201117,THAI ART IN THE RATANAKOSIN PERIOD,ศิลปะไทยสมัยรัตนโกสินทร์,ART RATANAKOSIN,3
0201118,DEVELOPMENT OF CRITICAL THINKING,การพัฒนาการคิดอย่างมีวิจารณญาณ,DEV CRIT THINK,3
0201121,LIFE REFLECTION THROUGH FILMS,มองชีวิตพินิจผ่านฟิล์ม,LIFE REFL FILM,3
0201122,MANAGEMENT OF PUBLIC DISASTER,การจัดการสาธารณภัย,MGT PUB DISASTER,3
0201123,CULTURE AND THAI TRADITIONS IN THAI LIFESTYLE,วัฒนธรรมและประเพณีไทยในวิถีชีวิตไทย,CULT TRAD TH LIFE,3
0201125,MANAGEMENT UNDER DIFFERENT CULTURE,การบริหารในความแตกต่างทางวัฒนธรรม,MGT DIFF CULT,3
0201125,MANAGEMENT UNDER DIFFERENT CULTURE,การบริหารในความแตกต่างทางวัฒนธรรม,MGT DIFF CULT,3
0201129,UNDERWATER WORLD IN THAILAND,เปิดโลกใต้ทะเลไทย,UNDERWATER WORLD,3
0201131,THAI COASTAL COMMUNITY DEVELOPMENT,การพัฒนาชุมชนชายฝั่งทะเลไทย,THAI COAST COM DEV,3
0201141,COASTAL ENVIRONMENT,สภาวะแวดล้อมชายฝั่งทะเล,COAST ENV,3
0201151,OUR ENVIRONMENT,สภาวะแวดล้อมของเรา,OUR ENVIRONMENT,3
0201153,WASTE MANAGEMENT,การจัดการของเสีย,WASTE MANAGEMENT,3
0201170,MILITARY SCIENCE,วิทยาการทหาร,MILITARY SCIENCE,3
0201200,STUDY PROCESS ON THAI SOCIETY,กระบวนการศึกษาสังคมไทย,STUD PROC THAI SOC,3
0201201,IDEAL GRADUATE I,บัณฑิตอุดมคติ 1,IDEAL GRADUATE I,3
0201201,IDEAL GRADUATE I,บัณฑิตอุดมคติ 1,IDEAL GRADUATE I,3
0201202,IDEAL GRADUATE II,บัณฑิตอุดมคติ 2,IDEAL GRADUATE II,3
0201202,IDEAL GRADUATE II,บัณฑิตอุดมคติ 2,IDEAL GRADUATE II,3
0201203,IDEAL GRADUATE III,บัณฑิตอุดมคติ 3,IDEAL GRADUATE III,3
0201203,IDEAL GRADUATE III,บัณฑิตอุดมคติ 3,IDEAL GRADUATE III,3
0201205,IDEAL GRADUATE V,บัณฑิตอุดมคติ 5,IDEAL GRADUATE V,3
0201205,IDEAL GRADUATE V,บัณฑิตอุดมคติ 5,IDEAL GRADUATE V,3
0201206,THAI IDEAL GRADUATE,บัณฑิตอุดมคติไทย,THAI IDEAL GRAD,3
0201210,MATERIALS AND WASTE MANAGEMENT FOR GREEN SOCIETY,วัสดุและการจัดการวัสดุเหลือทิ้งเพื่อสังคมสีเขียว,MAT MGT GREEN,3
0201211,MEDITATION FOR LIFE DEVELOPMENT,สมาธิเพื่อพัฒนาชีวิต,MEDITAT LIFE DEV,3
0201220,COMMUNITY DEVELOPMENT BASED ON PHILOSOPHY OF SUFFICIENCY ECONOMY,การพัฒนาชุมชนบนฐานปรัชญาเศรษฐกิจพอเพียง,COM DEV SUFF ECON,3
0201231,URBAN COMMUNITY STUDIES,ชุมชนเมืองศึกษา,URB COMM STUD,3
0201231,INSIGHT IN BREADTH AND DEATH,รู้รอบรู้ลึก,INSIGHT BRDTH DPTH,2
0201232,MULTIDISCIPLINARY SYUDY FOR RURAL DEVELOPMENT,สหสาขาศึกษาเพื่อพัฒนาชนบท,MULTI STUD RUR DEV,3
0201232,MULTIDISCIPLINARY SYUDY FOR RURAL DEVELOPMENT,สหสาขาศึกษาเพื่อพัฒนาชนบท,MULTI STUD RUR DEV,3
0201234,LOCAL AND GLOBAL ISSUES,ประเด็นท้องถิ่นกับประเด็นโลก,LOC GLOB ISS,3
0201251,POLLUTION PREVENTION AND CONTROL,การป้องกันและควบคุมมลพิษ,P2 CONTROL,3
0201252,ALTERNATIVE ENERGY AND CONSERVATION,พลังงานทดแทนและการอนุรักษ์พลังงาน,ALT ENGY CONS,3
0201254,GLOBAL WARMING ADAPTATION,การปรับตัวรองรับภาวะโลกร้อน,GLOB WARM ADAPT,3
0201281,TEAM AND ORGANIZATION DEVELOPMENT,การพัฒนาคณะทำงานและองค์กร,TEAM/ORG DEV,3
0201283,BEAUTIFUL DEATH,การตายอย่างมีคุณภาพ,BEAUTIFUL DEATH,3
0294455,PROFESSIONAL PRESENTATION,การนำเสนออย่างมืออาชีพ,PROF PRESENTATION,3
0295101,INTRODUCTION TO DATA SCIENCE,วิทยาศาสตร์ข้อมูลเบื้องต้น,INTRO DATA SCI,3
2004611,AQUATIC ENVIRONMENTAL SCIENCE,วิทยาศาสตร์สิ่งแวดล้อมเกี่ยวกับน้ำ,AQUA ENV SCI,2
2004611,AQUATIC ENVIRONMENTAL SCIENCE,วิทยาศาสตร์สภาวะแวดล้อมเกี่ยวกับน้ำ,AQUA ENV SCI,2
2004621,ATMOSPHERIC ENVIRONMENTAL SCIENCE,วิทยาศาสตร์สิ่งแวดล้อมเกี่ยวกับอากาศ,ATM ENV SCI,2
2004621,ATMOSPHERIC ENVIRONMENTAL SCIENCE,วิทยาศาสตร์สภาวะแวดล้อมเกี่ยวกับอากาศ,ATM ENV SCI,2
2004631,SOIL ENVIRONMENTAL SCIENCE,วิทยาศาสตร์สิ่งแวดล้อมเกี่ยวกับดิน,SOIL ENV SCI,2
2004631,SOIL ENVIRONMENTAL SCIENCE,วิทยาศาสตร์สภาวะแวดล้อมเกี่ยวกับดิน,SOIL ENV SCI,2
2004828,DISSERTATION,วิทยานิพนธ์,DISSERTATION,48
2004894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2004897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2009503,RESEARCH METHODOLOGY IN ENVIRONMENTAL MANAGEMENT,วิธีวิทยาการวิจัยด้านการจัดการสิ่งแวดล้อม,RM ENV MGT,2
2009512,ENVIRONMENTAL RISK ASSESSMENT,การประเมินความเสี่ยงสิ่งแวดล้อม,ENV RISK ASSESS,3
2009516,SPECIAL TOPICS IN ENVIRONMENTAL MANAGEMENT,หัวข้อพิเศษทางการจัดการสิ่งแวดล้อม,SPEC TOP ENV MGT,3
2009518,ENVIRONMENTAL MICROBIOLOGY,จุลชีววิทยาสิ่งแวดล้อม,ENV MICROBIO,3
2009519,INDUSTRIAL ECOLOGY,นิเวศวิทยาอุตสาหการ,INDUSTRIAL ECOLOGY,3
2009701,ADVANCED SEMINAR I,สัมมนาขั้นสูง 1,ADV SEM I,1
2009702,ADVANCED SEMINAR II,สัมมนาขั้นสูง 2,ADV SEM II,1
2009703,DOCTORAL SEMINAR I,สัมมนาระดับดุษฎีบัณฑิต 1,DOC SEM I,1
2009704,DOCTORAL SEMINAR II,สัมมนาระดับดุษฎีบัณฑิต 2,DOC SEM II,1
2009705,DOCTORAL SEMINAR III,สัมมนาระดับดุษฎีบัณฑิต 3,DOC SEM III,1
2009826,DISSERTATION,วิทยานิพนธ์,DISSERTATION,36
2009826,THESIS,วิทยานิพนธ์,THESIS,36
2009894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2009897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2010513,RESEARCH IN ENGLISH APPLIED LINGUISTICS,การวิจัยภาษาศาสตร์ประยุกต์ภาษาอังกฤษ,RES ENG APP LING,3
2010522,ENGLISH CURRICULUM DEVELOPMENT,การพัฒนาหลักสูตรภาษาอังกฤษ,ENG CUR DEV,3
2010530,FOUNDATION OF LANGUAGE ASSESSMENT AND EVALUATION,รากฐานการวัดและประเมินผลภาษา,FOUND LANGAS,3
2010531,RESEARCH IN LANGUAGE ASSESSMENT AND EVALUATION,การวิจัยการวัดและประเมินผลภาษา,RES LANGAS,3
2010614,ENGLISH DISCOURSE ANALYSIS,ปริจเฉทวิเคราะห์ภาษาอังกฤษ,ENG DISCOURSE ANA,3
2010615,HISTORY AND DEVELOPMENT OF THE ENGLISH LANGUAGE,ประวัติและพัฒนาการภาษาอังกฤษ,HIST DEV ENG LANG,3
2010623,COMPUTER-ASSISTED LANGUAGE LEARNING,การเรียนภาษาโดยใช้คอมพิวเตอร์ช่วยสอน,COMP LANG LEARN,3
2010630,QUANTITATIVE RESEARCH IN LANGUAGE ASSESSMENT AND EVALUATION,การวิจัยเชิงปริมาณด้านการวัดและประเมินผลภาษา,QUAN RES LANGAS,3
2010631,QUALITATIVE RESEARCH IN LANGUAGE ASSESSMENT AND EVALUATION,การวิจัยเชิงคุณภาพด้านการวัดและประเมินผลภาษา,QUAL RES LANGAS,3
2010732,LANGUAGE ASSESSMENT AND EVALUATION ON ENGLISH FOR SPECIFIC PURPOSES,การวัดและประเมินผลภาษาสำหรับภาษาอังกฤษเฉพาะกิจ,LANGAS ESP,3
2010733,APPLICATION OF TECHNOLOGIES TO LANGUAGE ASSESSMENT AND EVALUATION,การประยุกต์เทคโนโลยีทางด้านการวัดและประเมินผลภาษา,APP TECH LANGAS,3
2010736,CURRENT TRENDS IN LANGUAGE ASSESSMENT AND EVALUATION,แนวโน้มปัจจุบันทางการวัดและประเมินผลภาษา,CUR TREND LANGAS,3
2010761,DIRECTED READINGS IN LANGUAGE ASSESSMENT AND EVALUATION,การอ่านตามกำหนดทางการวัดและประเมินผลภาษา,DIR READ LANGAS,3
2010828,DISSERTATION,วิทยานิพนธ์,DISSERTATION,48
2010894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2010897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2011701,SEMINAR I,สัมมนา 1,SEMINAR I,1
2011702,SEMINAR II,สัมมนา 2,SEMINAR II,1
2011703,BASIC AND APPLIED IMMUNOLOGY,วิทยาภูมคุ้มกันพื้นฐานและประยุกต์,BSC APPL IMMUNOL,3
2011828,DISSERTATION,วิทยานิพนธ์,DISSERTATION,48
2011894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2011897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2022501,INTELLECTUAL PROPERTY MANAGEMENT,การจัดการทรัพย์สินทางปัญญา,IP MGT,3
2022503,INTERNATIONAL INNOVATION FIELD TRIP,ทัศนศึกษานวัตกรรมนานาชาติ,INT INNO FLD TRIP,0
2022506,INNOVATIONS FROM INSTITUTE-INDUSTRY CO-DESIGN,นวัตกรรมจากการสร้างสรรค์ร่วมระหว่างสถาบันการศึกษากับภาคอุตสาหกรรม,INNO II CODSGN,3
2022826,DISSERTATION,วิทยานิพนธ์,DISSERTATION,36
2022894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2022894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2022897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2100111,EXPLORING ENGINEERING WORLD,ท่องโลกวิศวกรรม,EXPL ENG WORLD,3
2100301,ENGINEERING PRACTICE,การฝึกงานวิศวกรรม,ENG PRACTICE,2
2100311,ENGINEERING ESSENTIALS,แก่นวิศวกรรม,ENG ESSENTIALS,3
2101202,MECHANICS OF MATERIALS I,กลศาสตร์วัสดุ 1,MECH MAT I,3
2101202,MECHANICS OF MATERIALS I,กลศาสตร์วัสดุ 1,MECH MAT I,3
2101251,CIVIL ENGINEERING PROFESSIONAL CONDUCT,การประกอบวิชาชีพวิศวกรรมโยธา,CE PROF CONDUCT,3
2101252,STATISTICS FOR CIVIL ENGINEERING,สถิติสำหรับงานวิศวกรรมโยธา,STAT CE,3
2101253,APPLIED MATHEMATICS FOR CIVIL ENGINEERS,คณิตศาสตร์ประยุกต์สำหรับวิศวกรโยธา,APP MATH CE,3
2101253,APPLIED MATHEMATICS FOR CIVIL ENGINEERS,คณิตศาสตร์ประยุกต์สำหรับวิศวกรโยธา,APP MATH CE,3
2101254,GEOLOGY FOR CIVIL ENGINEERS,ธรณีวิทยาสำหรับวิศวกรโยธา,GEOL CE,2
2101255,"INTRODUCTION TO ELECTRICAL,MECHANICAL AND ENVIRONMENTAL ENGINEERING",วิศวกรรมไฟฟ้า เครื่องกล และสิ่งแวดล้อมเบื้องต้น,INTRO EE ME ENV,2
2101302,MATERIALS TESTING LABORATORY,\N,MAT TESTING LAB,1
2101302,MATERIALS TESTING LABORATORY,\N,MAT TESTING LAB,1
2101302,MATERIALS TESTING LABORATORY,\N,MAT TESTING LAB,1
2101310,STRUCTURAL ANALYSIS I,การวิเคราะห์โครงสร้าง 1,STRUCT ANAL I,3
2101311,CIVIL ENGINEERING MATERIALS,วัสดุวิศวกรรมโยธา,CIV ENG MAT,4
2101321,SOIL MECHANICS,ปฐพีกลศาสตร์,SOIL MECHS,3
2101322,SOIL MECHANICS LABORATORY,ปฎิบัติการปฐพีกลศาสตร์,SOIL MECHS LAB,1
2101335,CONSTRUCTION SUPERVISION,การควบคุมงานก่อสร้าง,CONS SUPVN,2
2101337,TRANSPORTATION ENGINEERING,วิศวกรรมการขนส่ง,TRANS ENG,3
2101390,FUNDAMENTAL OF CIVIL ENGINEERING,\N,FUND OF C.E.,4
2101510,COMPUTER METHOD FOR CIVIL ENGINEERING,วิธีการทางคอมพิวเตอร์สำหรับวิศวกรโยธา,COMP METHOD FOR CE,3
2101536,UNDERGROUND CONSTRUCTION,การก่อสร้างใต้ดิน,UNDERGRD CONST,3
2101567,RAIL TRANSPORT SYSTEM,ระบบขนส่งทางราง,RAIL TRANS SYS,3
2101580,CONSTRUCTION INFORMATION MANAGEMENT,การจัดการสารสนเทศในงานก่อสร้าง,CONS INFO MGT,3
2101590,CONSTRUCTION TECHNIQUES AND PRODUCTIVITY,เทคนิคและประสิทธิผลการก่อสร้าง,CONS TECH & PRODUC,3
2101601,ADVANCED STRUCTURAL THEORY,ทฤษฎีโครงสร้างขั้นสูง,ADV STRUCT THEORY,3
2101607,ADVANCED MECHANICS OF MATERIALS,วัสดุกลศาสตร์ขั้นสูง,ADV MECH OF MATS,3
2101614,BEHAVIOR OF STEEL STRUCTURES,พฤติกรรมของโครงสร้างเหล็ก,BEHAV STEEL STRUCT,3
2101618,FINITE ELEMENT METHOD FOR CIVIL ENGINEERS,วิธีไฟไนท์เอเลเมนท์สำหรับวิศวกรโยธา,FIN ELE MET FOR CE,3
2101680,APPLIED MATHEMATICS I,คณิตศาสตร์ประยุกต์ 1,APPLIED MATH I,3
2101691,SPECIAL STUDIES,การศึกษาวิชาเฉพาะ,SPECIAL STUDIES,3
2101800,ADVANCED SOLID MECHANICS,กลศาสตร์ของแข็งขั้นสูง,ADV SOLID MECH,3
2101801,FRACTURE MECHANICS,กลศาสตร์การแตกร้าว,FRACTURE MECHANICS,3
2101804,BEHAVIOR OF REINFORCED CONCRETE STRUCTURES,พฤติกรรมของโครงสร้างคอนกรีตเสริมเหล็ก,BHV RC STRUC,3
2101810,FIRE SAFETY DESIGN OF STRUCTURES,การออกแบบโครงสร้างเพื่อความปลอดภัยจากอัคคีภัย,FIRE SAFE DES STR,3
2101817,STRUCTURAL TESTING AND EVALUATION,การทดสอบและการประเมินโครงสร้าง,STRUC TEST EVAL,3
2101818,LIFE CYCLE OF CONCRETE STRUCTURES,วงจรชีวิตของโครงสร้างคอนกรีต,LIFE CY CONC STRUC,3
2101828,DISSERTATION,วิทยานิพนธ์,DISSERTATION,48
2101894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2101894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2101897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2102201,ELECTRICAL ENGINEERING MATHEMATICS I,คณิตศาสตร์วิศวกรรมไฟฟ้า 1,ELECT ENG MATH I,3
2102201,ELECTRICAL ENGINEERING MATHEMATICS I,คณิตศาสตร์วิศวกรรมไฟฟ้า 1,ELECT ENG MATH I,3
2102202,ELECTRICAL ENGINEERING MATHEMATICS II,คณิตศาสตร์วิศวกรรมไฟฟ้า 2,ELECT ENG MATH II,3
2102202,ELECTRICAL ENGINEERING MATHEMATICS II,คณิตศาสตร์วิศวกรรมไฟฟ้า 2,ELECT ENG MATH II,3
2102203,PROBABILITY AND STATISTICS FOR ELECTRICAL ENGINEERING,ความน่าจะเป็นและสถิติสำหรับวิศวกรรมไฟฟ้า,PROB STAT ELEC ENG,3
2102203,PROBABILITY AND STATISTICS FOR ELECTRICAL ENGINEERING,ความน่าจะเป็นและสถิติสำหรับวิศวกรรมไฟฟ้า,PROB STAT ELEC ENG,3
2102206,INTRODUCTION TO ELECTRICAL ENGINEERING,วิศวกรรมไฟฟ้าเบื้องต้น,INTRO EE,1
2102210,CIRCUIT THEORY I,ทฤษฎีวงจรไฟฟ้า 1,CIRCUIT THEORY I,3
2102210,CIRCUIT THEORY I,ทฤษฎีวงจรไฟฟ้า 1,CIRCUIT THEORY I,3
2102211,ELECTRIC CIRCUIT LABORATORY,ปฎิบัติการวงจรไฟฟ้า,ELEC CIRCUIT LAB,1
2102211,ELECTRIC CIRCUIT LABORATORY,ปฎิบัติการวงจรไฟฟ้า,ELEC CIRCUIT LAB,1
2102212,CIRCUIT THEORY II,ทฤษฎีวงจรไฟฟ้า 2,CIRCUIT THEORY II,3
2102222,ENGINEERING ELECTROMAGNETICS,แม่เหล็กไฟฟ้าทางวิศวกรรม,ENG EMAG,3
2102222,ENGINEERING ELECTROMAGNETICS,แม่เหล็กไฟฟ้าทางวิศวกรรม,ENG EMAG,3
2102252,ELECTRICAL MACHINES I,เครื่องจักรกลไฟฟ้า 1,ELEC MACH I,3
2102308,PROPERTIES OF ELECTRICAL ENGINEERING MATERIALS,คุณสมบัติของวัสดุทางวิศวกรรมไฟฟ้า,PROP ELEC ENG MAT,3
2102308,PROPERTIES OF ELECTRICAL ENGINEERING MATERIALS,คุณสมบัติของวัสดุทางวิศวกรรมไฟฟ้า,PROP ELEC ENG MAT,3
2102311,ELECTRICAL MEASUREMENT AND INSTRUMENTATION,การวัดและเครื่องมือวัดทางไฟฟ้า,ELEC MEAS/INSTRU,3
2102332,LINEAR CONTROL SYSTEMS I,ระบบควบคุมเชิงเส้น 1,LIN CONT SYS I,3
2102332,LINEAR CONTROL SYSTEMS I,ระบบควบคุมเชิงเส้น 1,LIN CONT SYS I,3
2102332,LINEAR CONTROL SYSTEMS I,ระบบควบคุมเชิงเส้น 1,LIN CONT SYS I,3
2102332,LINEAR CONTROL SYSTEMS I,ระบบควบคุมเชิงเส้น 1,LIN CONT SYS I,3
2102355,ELECTRICAL MACHINES LABORATORY,ปฏิบัติการเครื่องจักรกลไฟฟ้า,ELEC MACH LAB,1
2102355,ELECTRICAL MACHINES LABORATORY,ปฏิบัติการเครื่องจักรกลไฟฟ้า,ELEC MACH LAB,1
2102356,ELECTRICAL MACHINES II,เครื่องจักรกลไฟฟ้า 2,ELEC MACH II,3
2102360,ELECTRICAL POWER SYSTEM I,ระบบไฟฟ้ากำลัง 1,ELEC POWER SYS I,3
2102360,ELECTRICAL POWER SYSTEM I,ระบบไฟฟ้ากำลัง 1,ELEC POWER SYS I,3
2102370,PRINCIPLES OF COMMUNICATIONS,หลักการของระบบสื่อสาร,PRINC COMM,3
2102370,PRINCIPLES OF COMMUNICATIONS,หลักการของระบบสื่อสาร,PRINC COMM,3
2102370,PRINCIPLES OF COMMUNICATIONS,หลักการของระบบสื่อสาร,PRINC COMM,3
2102370,PRINCIPLES OF COMMUNICATIONS,หลักการของระบบสื่อสาร,PRINC COMM,3
2102370,PRINCIPAL OF COMMUNICATIONS,หลักการของระบบสื่อสาร,PRINC COMM,3
2102382,ELECTRONIC CIRCUITS,\N,ETRON CIRCUITS,3
2102383,FUNDAMENTALS TO DIGITAL SYSTEMS,พื้นฐานระบบเชิงเลข,FUND DIGITAL SYS,3
